training_loss,lr_step_size,validation_losses
0.12579192597143077,0.005,0.05212182829261951
0.04857611588926779,0.005,0.04186951702917522
0.03217343518648435,0.005,0.03331750320305802
0.026350275070096057,0.005,0.03053074969716792
0.023090567672625184,0.005,0.034648431465029716
0.020166397146466706,0.005,0.028090229222796997
0.016922055355583627,0.005,0.025607151752513536
0.015773712536665024,0.005,0.025591436316663364
0.014097944979935332,0.005,0.025031922139086813
0.013161624449788144,0.005,0.022126304899465363
0.011733503037787698,0.005,0.02218474280792025
0.010305073435625268,0.005,0.022474292173700512
0.009824506110615201,0.005,0.026145370598038974
0.010102823898368687,0.005,0.020369580551489908
0.009083923092543113,0.005,0.022756348750641885
0.008317922043648583,0.005,0.021671714603830623
0.008205911868976222,0.005,0.023618083851376794
0.007976891181897372,0.005,0.02211065450683236
0.007849587720422144,0.005,0.024349510023932694
0.007139115934950058,0.005,0.020754641115243704
0.005605430682879631,0.0005,0.021723496059904684
0.004801370393208883,0.0005,0.019411332927257666
0.004702499378860618,0.0005,0.0201056973815386
0.004471210803819337,0.0005,0.01987471705179591
0.004556593824721252,0.0005,0.020718409337173654
0.00452131894632691,0.0005,0.019717631778099907
0.004471852366502087,0.0005,0.018787987701559684
0.0042500624937626226,0.0005,0.019471372578749962
0.004603919300414553,0.0005,0.020407237477143698
0.004093383587638123,0.0005,0.020217763791563658
0.004180876349521525,0.0005,0.019875897981999617
0.003945346768617768,0.0005,0.01975871243004529
0.004170937218953407,0.0005,0.019782743706666637
0.004008776799309999,0.0005,0.01969594087776781
0.0040740036164168955,0.0005,0.021773578144416633
0.0038981388993475034,0.0005,0.019794766439722396
0.0040539075292784854,0.0005,0.020703683756643308
0.0038135800126905517,0.0005,0.02020517193694722
0.004061939512784766,0.0005,0.020058296067323886
0.0038845029646634227,0.0005,0.02094918062014259
0.00373597907471574,5e-05,0.02206627895862286
0.0036287137449512053,5e-05,0.02168704130036651
0.0037889914431919656,5e-05,0.020007606481535815
0.0036758959608118014,5e-05,0.022186542927059082
0.0038194986032235815,5e-05,0.02157130790435059
0.0036668525092493466,5e-05,0.02190610563013492
0.0038072900292549835,5e-05,0.021951646864730515
0.0038654710817219756,5e-05,0.020463576373415737
0.0036353927905481585,5e-05,0.021064173236911028
0.0037529270145266005,5e-05,0.02133211690299916
0.0036029726141822284,5e-05,0.020429574866902153
0.0038173125595440745,5e-05,0.020945697570360213
0.003781650161491362,5e-05,0.02201722792947208
0.003766579409043684,5e-05,0.021464850955625187
0.003754463934994958,5e-05,0.0225812930587398
0.0036628568562230577,5e-05,0.02160232553240966
0.003606506915443956,5e-05,0.02089942647759223
0.0036158556467853487,5e-05,0.021979123898693977
0.0035725515217227104,5e-05,0.02210412429698374
0.0036952328993248994,5e-05,0.021712962498466642
0.0036596323264314343,5e-06,0.020566618924450903
0.0036789884680830357,5e-06,0.02086658922533663
0.003609143625470568,5e-06,0.022754101609846332
0.0037362185550456934,5e-06,0.019852561428088625
0.003706238330643693,5e-06,0.021074405849366536
0.0036683129847342906,5e-06,0.020294755723608553
0.0035478657626771127,5e-06,0.021661590103868325
0.003813692103398757,5e-06,0.019860896602589287
0.0036653024316937836,5e-06,0.021259666789533956
0.003713740846487107,5e-06,0.020350805745143793
0.0036787106084240667,5e-06,0.021124514944429667
0.003795837868151634,5e-06,0.020945742304595012
0.003532423705716307,5e-06,0.021390259366939373
0.003721546622088041,5e-06,0.020942382914242597
0.00373419596171179,5e-06,0.020931422288687725
0.003646987076434824,5e-06,0.021433416925335548
0.0036275568482879964,5e-06,0.02084565173641269
0.003761991458574172,5e-06,0.021043257427595136
0.003612089797604346,5e-06,0.01994904753629048
0.003535589112693237,5e-06,0.02148140817529188
0.0036556049782558585,5.000000000000001e-07,0.020830500282276915
0.003645440359832719,5.000000000000001e-07,0.02134252249544381
0.003635725084071358,5.000000000000001e-07,0.02065714859878117
0.0037953534036340125,5.000000000000001e-07,0.023194886726450245
0.0038207197072484566,5.000000000000001e-07,0.022390988607065013
0.003939770166417239,5.000000000000001e-07,0.019901783846951317
0.0036333704494474523,5.000000000000001e-07,0.020841635166192956
0.0036383141964001376,5.000000000000001e-07,0.021106495737221162
0.003668263899507346,5.000000000000001e-07,0.02032525427990927
0.003678120963741094,5.000000000000001e-07,0.02014511680880667
0.0037094179047185375,5.000000000000001e-07,0.021810332455953478
0.0035017683306553713,5.000000000000001e-07,0.020014518994908286
0.0036015905735203653,5.000000000000001e-07,0.021716804285358004
0.0037024074387132983,5.000000000000001e-07,0.02109332900617342
0.00371720746086255,5.000000000000001e-07,0.02117503427171131
0.003724420962734493,5.000000000000001e-07,0.02094905914404904
0.0037072005248369854,5.000000000000001e-07,0.02165072400975129
0.00349429947500876,5.000000000000001e-07,0.021638588180308633
0.0035746141543818843,5.000000000000001e-07,0.021652346498877654
0.003663526798913221,5.000000000000001e-07,0.020923488907392998
